unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"8F1B26BD-A47C-53DB-E053-6C04A8C03649","275000","2019-05-24","WA14 1LZ","S","N","F","","92","BRIDGEWATER ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-A47C-53DB-E053-6C04A8C03649/current"
"80E1AA98-0DDD-7BF8-E053-6C04A8C00BF2","220000","2019-01-04","WA14 1LZ","T","N","F","","98","BRIDGEWATER ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/80E1AA98-0DDD-7BF8-E053-6C04A8C00BF2/current"
"919FEC05-30B1-9A90-E053-6C04A8C0A300","260000","2019-07-19","WA14 1ND","T","N","F","","11","WHARF ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-30B1-9A90-E053-6C04A8C0A300/current"
"8F1B26BD-A2C3-53DB-E053-6C04A8C03649","235000","2019-07-05","WA14 1ND","S","N","F","","13","WHARF ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-A2C3-53DB-E053-6C04A8C03649/current"
"965B6D91-58BD-95E4-E053-6C04A8C07729","290000","2019-09-27","WA14 1NG","S","N","L","","18","HAWARDEN ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-58BD-95E4-E053-6C04A8C07729/current"
"9B361206-3867-1904-E053-6B04A8C0EEB5","325000","2019-12-17","WA14 1NQ","S","N","L","","39","HAWARDEN ROAD","","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/9B361206-3867-1904-E053-6B04A8C0EEB5/current"
"93E6821E-4953-40FD-E053-6B04A8C0C1DF","275000","2019-08-30","WA14 1SR","T","N","F","","3","BRENTWOOD AVENUE","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/93E6821E-4953-40FD-E053-6B04A8C0C1DF/current"
"919FEC05-2FAD-9A90-E053-6C04A8C0A300","220000","2019-07-25","WA14 1SR","T","N","F","","9","BRENTWOOD AVENUE","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-2FAD-9A90-E053-6C04A8C0A300/current"
"965B6D91-57FD-95E4-E053-6C04A8C07729","234000","2019-10-07","WA14 1SR","T","N","F","","29","BRENTWOOD AVENUE","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-57FD-95E4-E053-6C04A8C07729/current"
"8A78B2AF-8BC7-5CB0-E053-6B04A8C0F504","265000","2019-05-24","WA14 1SR","T","N","F","","31","BRENTWOOD AVENUE","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-8BC7-5CB0-E053-6B04A8C0F504/current"
